url,criminaler,Identify and categorize judicial cases mentioned,"Detect mentions of criminaler belonging to a criminal group (14k, Triads, gang)",information related to the acquittal of cases,Language of the article,Date of publication,Publisher's name,"Publisher's specialty, focusing on relations to gambling",Publisher's country,Publisher's global contact email
https://books.google.com/books?id=9cTmBQAAQBAJ&pg=PA185&lpg=PA185&dq=Wei+Seng+Phua+Hong+Kong&source=bl&ots=PFNW6KirfE&sig=ACfU3U0PffyBVD4EVDXZfLQrWIRzD2sEVA&hl=en&sa=X&ved=2ahUKEwjCiK7d58-AAxW1HxAIHVsMDc04HhDoAXoECBYQAw,Wei Seng Phua," US judge in Vegas: Evidence tainted in web gambling case - Fourth Amendment implications; FBI-Caesars search case to narrow to father, son - plea deals; Judge says FBI ruse violated rights of Las Vegas hotel guest - Fourth Amendment rights."," In a criminal complaint, federal authorities described him as a high-ranking member of the 14k Triad, a Chinese organized crime group."," Paul Phua and his son Darren Wai Kit Phua were acquitted after the U.S. District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional.",---, ---, ---, Gambling, ---, ---
https://books.google.com/books?id=y8zeBAAAQBAJ&pg=PR8&lpg=PR8&dq=Wei+Seng+Phua+Hong+Kong&source=bl&ots=Ontcz_Mumr&sig=ACfU3U0dTBKJWPkvDkM4CEo3CYd0U178Tw&hl=en&sa=X&ved=2ahUKEwjCiK7d58-AAxW1HxAIHVsMDc04HhDoAXoECBcQAw,Wei Seng Phua, US District Judge Andrew Gordon ruling; Fourth Amendment violation case.," In a criminal complaint, federal authorities described him as a high-ranking member of the 14k Triad, a Chinese organized crime group."," Paul Phua and his son Darren entered guilty pleas in order to be allowed to leave the US. District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional. Phua walked free.",The language of the article is ---., ---, ---, Gambling., ---, ---
https://books.google.com/books?id=6dzsCAAAQBAJ&pg=PA250&lpg=PA250&dq=Wei+Seng+Phua+Hong+Kong&source=bl&ots=7bXowe-0ID&sig=ACfU3U2VvO8wHOdO3u5U6P2Vjmp9Xy98ig&hl=en&sa=X&ved=2ahUKEwjeqsPf58-AAxUgJxAIHf3yAXM4KBDoAXoECAcQAw,Wei Seng Phua, US District Judge Andrew Gordon ruling threw out evidence.," In the criminal complaint, federal authorities described him as a high-ranking member of the 14k Triad, a Chinese organized crime group. Wei Seng Phua also denied that allegation. Lawyers for the Phuas filed documents this week denying U.S. prosecutors’ assertions that Paul Phua is a member or leader of the Chinese organized crime group called the 14K Triad."," Paul Phua and his son Darren entered guilty pleas, but Paul Phua fought on. U.S. District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional. Paul Phua walked free.","---
English", ---, ---, Gambling, ---, ---
https://books.google.com/books?id=TQHyCAAAQBAJ&pg=PA248&lpg=PA248&dq=Wei+Seng+Phua+Hong+Kong&source=bl&ots=rG7MxiLK6q&sig=ACfU3U1cnCU99IbyhOiPRlL-wtOKqB_HdQ&hl=en&sa=X&ved=2ahUKEwjeqsPf58-AAxUgJxAIHf3yAXM4KBDoAXoECBcQAw,Wei Seng Phua, US District Judge Andrew Gordon ruling on Fourth Amendment rights violation.," In a criminal complaint, federal authorities described him as a high-ranking member of the 14k Triad, a Chinese organized crime group."," Paul Phua and his son Darren entered a guilty plea in order to be allowed to leave the US. U.S. Magistrate Judge Peggy Leen called for evidence to be thrown out. U.S. District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, and Phua walked free.",---, ---, ---, Gambling, ---, ---
https://books.google.com/books?id=V9eiCgAAQBAJ&pg=PR17&lpg=PR17&dq=Wei+Seng+Phua+Hong+Kong&source=bl&ots=4a5kj1bpHz&sig=ACfU3U0zjP1-GTiTsoBoBWo2D68q8KD6aw&hl=en&sa=X&ved=2ahUKEwjeqsPf58-AAxUgJxAIHf3yAXM4KBDoAXoECBgQAw,Wei Seng Phua, US District Judge Andrew Gordon ruling on Fourth Amendment implications.," In a criminal complaint, federal authorities described him as a high-ranking member of the 14k Triad, a Chinese organized crime group."," Paul Phua fought on and when the case came to trial at the start of June, District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional. Phua walked free.","---

Language: English", ---, ---, Gambling, ---, ---
https://books.google.com/books?id=N_wYEAAAQBAJ&pg=PT9&lpg=PT9&dq=Wei+Seng+Phua+Hong+Kong&source=bl&ots=FCn95JbGv2&sig=ACfU3U1x9Pw3RTARMpK0nFwC8B5AFND5lw&hl=en&sa=X&ved=2ahUKEwjeqsPf58-AAxUgJxAIHf3yAXM4KBDoAXoECBUQAw,Wei Seng Phua," US judge in Vegas: Evidence tainted in web gambling case - Fourth Amendment case; FBI-Caesars search case to narrow to father, son - plea deal; Judge says FBI ruse violated rights of Las Vegas hotel guest - Fourth Amendment case."," ""In a criminal complaint, federal authorities described him as a high-ranking member of the 14k Triad, a Chinese organized crime group. They are scheduled to ask a judge on Dec. 15 to ban the government from using against their clients’ items and statements collected during the Caesars raid. Lawyers for the Phuas filed documents this week denying U.S. prosecutors’ assertions that Paul Phua is a member or leader of the Chinese organized crime group called the 14K Triad."""," Paul Phua and his son Darren Wai Kit Phua faced trial on charges including operating an illegal gambling business during the World Cup soccer tournament. U.S. Magistrate Judge Peggy Leen ruled evidence the agents collected as a result of the ruse didn't justify the deception and called for evidence to be thrown out. U.S. District Judge Andrew Gordon agreed with the defense submission and ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional. Paul Phua walked free.",Chinese, ---, ---, Gambling, ---, ---
https://books.google.com/books?id=GrnrCAAAQBAJ&pg=PA245&lpg=PA245&dq=Wei+Seng+Phua+Hong+Kong&source=bl&ots=H-JF9WrOIp&sig=ACfU3U0_kDgXsVeyQ44bclvo3RBokdurhA&hl=en&sa=X&ved=2ahUKEwjeqsPf58-AAxUgJxAIHf3yAXM4KBDoAXoECBYQAw,Wei Seng Phua, US judge in Vegas: Evidence tainted in web gambling case | AP News --- Fourth Amendment implications; U.S. District Judge Andrew Gordon --- Fourth Amendment violation.," In the criminal complaint, federal authorities described him as a high-ranking member of the 14k Triad, a Chinese organized crime group."," Paul Phua and his son Darren entered a guilty plea in order to be allowed to leave the US, but Paul Phua fought on. U.S. District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional. Phua walked free.","---
The information about the language of the article is not provided.", ---, ---, Gambling, ---, ---
http://somuchpoker.com/gpi-asia-rankings-mid-year-update-paul-phua-leads-gpi-pete-chen-top-spot-for-player-of-the-year/,Paul Phua, US judge in Vegas: Fourth Amendment violation case; FBI-Caesars search case: Plea deal case; Judge says FBI ruse violated rights of Las Vegas hotel guest: Fourth Amendment violation case., Lawyers for the Phuas filed documents this week denying U.S. prosecutors’ assertions that Paul Phua is a member or leader of the Chinese organized crime group called the 14K Triad.," Paul Phua and his son Darren Wai Kit Phua faced trial on charges including operating an illegal gambling business during the World Cup soccer tournament. U.S. Magistrate Judge Peggy Leen called for evidence to be thrown out. U.S. District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional. Paul Phua walked free.",English, ---, ---, Gambling, ---, ---
http://www.financetwitter.com/2015/09/fbi-doj-jurisdiction-starts-from-jho-low-riza-azizs-money-trail-to-najib.html,Paul Phua, US District Judge Andrew Gordon ruling on evidence in US illegal Internet gambling case., Lawyers for the Phuas filed documents this week denying U.S. prosecutors’ assertions that Paul Phua is a member or leader of the Chinese organized crime group called the 14K Triad.," US District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional, resulting in Paul Phua walking free.",Malay, ---, ---, Gambling, ---, ---
"https://en.wikipedia.org/wiki/Paul_Phua#:~:text=Phua%20was%20born%20in%201964,to%20attend%20school%20in%20Singapore.",Paul Phua," US judge in Vegas: Evidence tainted in web gambling case; FBI-Caesars search case to narrow to father, son; Judge says FBI ruse violated rights of Las Vegas hotel guest.", Lawyers for the Phuas filed documents this week denying U.S. prosecutors’ assertions that Paul Phua is a member or leader of the Chinese organized crime group called the 14K Triad.," US District Judge Andrew Gordon ruled the FBI evidence from Caesar’s Palace inadmissible, as the basis on which it had been obtained was unconstitutional, and Phua walked free.",English, ---, ---, Gambling, ---, ---
