url,criminaler,Identify and categorize judicial cases mentioned,"Detect mentions of criminaler belonging to a criminal group (14k, Triads, gang)",information related to the acquittal of cases,Language of the article,Date of publication,Publisher's name,"Publisher's specialty, focusing on relations to gambling",Publisher's country,Publisher's global contact email
"https://www.clubpoker.net/tournoi-poker-en-ligne/clubber-live/unibet-poker/to-480202,fr"
"https://www.clubpoker.net/tournoi-poker-en-ligne/nocturne-cp/pmu-poker/to-480458,fr"
"https://www.clubpoker.net/tournoi-poker-en-ligne/lucky-cp/winamax/to-482659,fr"
https://pokerlogia.com/internacionales-poker/nacho-barbero-lleva-ganados-us-4-1m-en-las-triton-shr-de-londres/,Paul Phua, Civil liberties grounds/challenge the old Malaysian Police report/FBI acted wrongly and violated Phua’s civil rights., Paul Phua is not a member of the 14K Triad., ---,Spanish, ---, ---, Investigative reporting and other breaking news reports in the world of poker and gambling., ---, ---
https://railme.com/triton-shr-series-londyn-wiktor-malinowski-w-czolowce-me/,Paul Phua, Procedural; civil liberties., The FBI had submitted an internal document to the courts in US which it said Malaysian police had informed the agency's representative in Malaysia in 2008 that Phua was a 14K member., The only way to win is procedural. Prove that the FBI acted wrongly and violated Phua's civil rights.,Polish, ---, ---, Investigative reporting and other breaking news reports in the world of poker and gambling., ---, ---
https://www.sport1.de/news/poker/2023/07/wsop-europe-spielt-15-bracelets-aus
http://familycarediagnostic.com/ik0kjpdz6/gpi-rankings-poker.html,Paul Phua, Civil liberties grounds., The FBI had submitted an internal document to the courts in US which it said Malaysian police had informed the agency's representative in Malaysia in 2008 that Phua was a 14K member., ---,English, ---, ---, Investigative reporting and other breaking news reports in the world of poker and gambling., ---, ---
https://www.hochgepokert.com/2023/08/08/titel-nr-2-timothy-adams-triumphiert-beim-triton-shrs-main-event/,Paul Phua, Civil liberties violation; procedural challenge., The FBI had submitted an internal document to the courts in US which it said Malaysian police had informed the agency's representative in Malaysia in 2008 that Phua was a 14K member.," The FBI's 2008 memo was what they believed to be true when they went to the judge for the arrest warrant. Zahid's memo, written five months after Phua was ""caught in the act,"" is worthless and not worth the paper it is printed on.",German, ---, ---, Investigative reporting and other breaking news reports in the world of poker and gambling., ---, ---
https://books.google.com/books?id=CZI0CwAAQBAJ&pg=PA58&lpg=PA58&dq=Paul+Phua+Las+Vegas&source=bl&ots=u52KgNiaPB&sig=ACfU3U0ErpJAzsvMaszyUjF_jbkgBeyUAQ&hl=en&sa=X&ved=2ahUKEwjBreWG7M-AAxUGDRAIHbdpBek4PBDoAXoECAcQAw,Paul Phua, Judicial cases: Phua's American attorneys trying to get the case thrown out on civil liberties grounds; American judicial process. Categorization: civil liberties., The FBI had submitted an internal document to the courts in US which it said Malaysian police had informed the agency's representative in Malaysia in 2008 that Phua was a 14K member., Evidence must prove the FBI acted wrongly and violated the defendant's civil rights.,---, ---, ---, Investigative reporting and other breaking news reports in the world of poker and gambling., ---, ---
https://books.google.com/books?id=oCQlEAAAQBAJ&pg=PT225&lpg=PT225&dq=Paul+Phua+Las+Vegas&source=bl&ots=qwFjCDs2ym&sig=ACfU3U1NGNl7pt0JGyNPWuDLJarltMo7iw&hl=en&sa=X&ved=2ahUKEwjBreWG7M-AAxUGDRAIHbdpBek4PBDoAXoECBYQAw,Paul Phua, Civil liberties grounds; procedural.---, The FBI submitted an internal document to the courts in US which it said Malaysian police had informed the agency's representative in Malaysia in 2008 that Phua was a 14K member., ---,Greek, ---, ---, Investigating poker journalism., ---, ---
https://books.google.com/books?id=33KSEAAAQBAJ&pg=PT255&lpg=PT255&dq=Paul+Phua+Las+Vegas&source=bl&ots=_cLQdD1qSY&sig=ACfU3U0c7JkCh6nmTLDvI1clxjlbC89xXA&hl=en&sa=X&ved=2ahUKEwjBreWG7M-AAxUGDRAIHbdpBek4PBDoAXoECBgQAw,Paul Phua, Civil liberties grounds; challenge the old Malaysian Police report and argue that the judge had been led astray by the FBI.,"
The FBI had submitted an internal document to the courts in US which it said Malaysian police had informed the agency's representative in Malaysia in 2008 that Phua was a 14K member."," The FBI had the 2008 memo from the Malaysian Police at the time they went to the judge for the arrest warrant. Zahid's memo written five months after Phua was ""caught in the act"" was worthless.",English., ---, ---, Poker journalism, ---, ---
